Date,Open,High,Low,Close,Adj Close,Volume
2022-08-22,6.950000,10.500000,5.210000,6.000000,6.000000,122699800
2022-08-23,6.760000,7.640000,6.500000,7.020000,7.020000,104446900
2022-08-24,7.150000,7.680000,6.850000,7.130000,7.130000,35891700
2022-08-25,7.010000,7.070000,6.330000,6.830000,6.830000,23415600
2022-08-26,6.660000,6.830000,6.310000,6.500000,6.500000,13877700
2022-08-29,6.020000,6.279000,5.850000,6.060000,6.060000,17603100
2022-08-30,5.900000,6.070000,5.160000,5.200000,5.200000,17076200
2022-08-31,5.120000,5.260000,4.721000,4.900000,4.900000,16715700
2022-09-01,5.060000,5.077000,4.400000,4.590000,4.590000,12134800
2022-09-02,4.820000,5.700000,4.640000,4.970000,4.970000,28002600
2022-09-06,5.250000,5.340000,4.840000,4.920000,4.920000,8341000
2022-09-07,4.830000,5.090000,4.680000,5.080000,5.080000,8535700
2022-09-08,5.050000,5.290000,5.000000,5.110000,5.110000,8771000
2022-09-09,5.150000,5.550000,5.120000,5.530000,5.530000,10211700
2022-09-12,5.640000,6.130000,5.630000,5.720000,5.720000,12467900
2022-09-13,5.420000,5.720000,5.260000,5.310000,5.310000,8893700
2022-09-14,5.280000,5.430000,5.110000,5.360000,5.360000,5921800
2022-09-15,5.350000,5.690000,5.320000,5.390000,5.390000,7303339
