SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20220701|B38564108|EURN|4180|EURONAV NV ANTWERPEN (BELGIUM)|11.93
20220701|C00948106|AGRI|292|AGRIFORCE GROWING SYS LTD COM |2.31
20220701|C96657116|VMAR|47|VISION MARINE TECHNOLOGIES INC|4.76
20220701|D18190898|DB|89245|DEUTSCHE BANK AG NAMEN AKT (DE|8.74
20220701|G0R21B104|ACTD|1500|ARCLIGHT CLEAN TRANSITION CORP|9.95
20220701|G0R45S125|AIBBU|184|AIB ACQUISITION CORP|10.18
20220701|G0084W101|ADNT|20|ADIENT PLC ORD SHS (IRL)|29.63
20220701|G0085J117|ADSE|1501|ADS TEC ENERGY PLC|6.64
20220701|G01109126|AFTRWS|12|AFTERNEXT HEALTHTECH ACQUISITI|0.19
20220701|G0120M125|AGBAR|881|AGBA ACQUISITION LTD RT 05/10/|0.14
20220701|G01202111|AGGRW|227|AGILE GROWTH CORP WT EXP (CYM)|0.20
20220701|G01322109|AHRN|200|AHREN ACQUISITION CORP ORD SHS|9.93
20220701|G0135E126|AIMAW|33300|AIMFINITY INVT CORP I WT CL 1 |0.11
20220701|G0176J109|ALLE|718|ALLEGION PUB LTD CO (IRL)|97.90
20220701|G0230C116|ALSAW|401|ALPHA STAR ACQUISITION CORP US|0.04
20220701|G0231L107|ALOR|79|ALSP ORCHID ACQUISITION CORP I|9.98
20220701|G0231L123|ALORW|200|ALSP ORCHID ACQUISITION CORP I|0.09
20220701|G0250X107|AMCR|11857|AMCOR PLC ORD USD0.01 (JEY)|12.43
20220701|G0360L100|CYTO|7257|ALTAMIRA THERAPEUTICS LTD SHS |0.49
20220701|G0369L101|ANGH|3614|ANGHAMI INC SHS (CYM)|4.65
20220701|G041JN106|AEHL|30|ANTELOPE ENTERPRISE HLDGS LTD |1.02
20220701|G0450A105|ACGL|451|ARCH CAPITAL GROUP LTD|45.49
20220701|G04553106|ARCE|2708|ARCO PLATFORM LTD CL A COM (CY|14.93
